"X","Y","gr1","gr2","gr3","gr4"
347125,8553725,3.88265563486185e-05,0.00623610139373852,3.84335874027172e-06,0.993721228691173
347175,8553725,6.97814496082687e-06,0.000545213828027076,8.97492722045636e-07,0.99944691053429
347225,8553725,1.90383597813986e-05,0.00077162416703309,2.21104593287653e-06,0.999207126427253
347275,8553725,0.002178619871578,0.0128089627563745,6.67013769297137e-05,0.984945715995118
347325,8553725,8.0723669282504e-05,0.00202382444538795,2.58105249572571e-06,0.997892870832834
347375,8553725,0.000946558345527615,0.122121183828583,4.06665732134989e-05,0.876891591252676
347425,8553725,0.000455162123188359,0.130725945359292,8.82476817166995e-05,0.868730644835803
347475,8553725,0.000663595205245348,0.186215024007053,1.7728937440528e-05,0.813103651850261
347525,8553725,1.79568179533729e-05,0.00114010404097499,1.10972913702326e-06,0.998840829411935
347575,8553725,0.000299709989144111,0.0012567650719226,1.35142581523845e-05,0.998430010680781
347625,8553725,0.000139598857728095,0.00200570123375939,7.88851803049607e-06,0.997846811390482
347675,8553725,0.0054911894075195,0.15695092958156,5.92031719949002e-05,0.837498677838926
347725,8553725,0.0103751307315937,0.126268900558867,0.0111969806793355,0.852158988030204
347775,8553725,0.0103486070348561,0.129660491446906,0.0125901677373009,0.847400733780936
347825,8553725,0.0106493664018256,0.128084144145377,0.0144813252775593,0.846785164175238
347875,8553725,0.011867410343976,0.141127211658255,0.01875463914766,0.828250738850108
347925,8553725,0.0138993029404063,0.149965343589703,0.0268775226813189,0.809257830788573
347975,8553725,0.0140865387360525,0.16995116062628,0.0396221007718104,0.77634019986586
347025,8553775,1.26425920010773e-05,0.000276609132878181,1.11305959409333e-06,0.999709635215527
347075,8553775,0.000251900135144459,0.00764148212597535,2.55563833257506e-05,0.992081061355554
347125,8553775,8.64389867386803e-05,0.00119875530321867,1.11153516742615e-05,0.998703690358368
347175,8553775,0.00018186261690436,0.00134345245209996,2.84168073885932e-05,0.998446268123607
347225,8553775,0.000295355751417329,0.00291566136639946,3.77679124399662e-06,0.996785206090939
347275,8553775,0.000786296429751957,0.0959869500910178,2.53491972554568e-05,0.903201404281975
347325,8553775,7.7194819893941e-05,0.00429192403157406,1.58058148202871e-05,0.995615075333712
347375,8553775,0.000948822256977056,0.197406106021025,5.08816943233729e-05,0.801594190027675
347425,8553775,8.4697134712298e-05,0.00867915752877096,1.73415656748954e-05,0.991218803770842
347475,8553775,0.000269374890660557,0.00197600908099876,6.11460035455942e-05,0.997693470024795
347525,8553775,0.00155957235731089,0.177209100874723,5.0244449715301e-05,0.821181082318251
347575,8553775,0.000384437124199777,0.134404368798806,8.51773330080672e-05,0.865126016743986
347625,8553775,0.00118196777687668,0.197290988139468,0.00017072503137567,0.801356319052279
347675,8553775,0.000291670735297533,0.0498691392576289,2.15546674495416e-05,0.949817635339624
