"X","Y","median","q99","nobs"
344025,8553325,15,19.8501,25000
344025,8553375,13.68,20.77,25000
344025,8553425,13.63,23.1,25000
344025,8553475,15.45,19.46,25000
344025,8553525,14.17,19.73,25000
344025,8553575,14.77,22.24,25000
344025,8553625,14.18,20.54,25000
344025,8553675,14.54,20.61,25000
344025,8553725,15.81,21.8,25000
344025,8553775,12.44,19.01,25000
344025,8553825,13.71,19.7765,18736
344075,8553025,15.9,22.3201,25000
344075,8553075,14.09,18.4001,25000
344075,8553125,14.38,19.56,25000
344075,8553175,14.18,20.1901,25000
344075,8553225,13.93,24.3001,25000
344075,8553275,12.69,19.44,25000
344075,8553325,14.38,19.1201,25000
344075,8553375,13.23,18.7301,25000
344075,8553425,13.52,20.83,25000
344075,8553475,14.78,18.74,25000
344075,8553525,13.87,17.61,25000
344075,8553575,14.62,19.06,25000
344075,8553625,14.12,20.3601,25000
344075,8553675,14.67,22.05,25000
344075,8553725,18.08,22.42,25000
344075,8553775,12.83,20.5401,25000
344075,8553825,14.56,19.91,21946
344125,8553025,15.73,25.12,25000
344125,8553075,15.1,25.1101,25000
344125,8553125,14.82,20.01,25000
344125,8553175,14.91,21.74,25000
344125,8553225,13.03,22.7101999999999,25000
344125,8553275,14.37,19.06,25000
344125,8553325,14.52,19.41,25000
344125,8553375,13.04,18.43,25000
344125,8553425,13.37,19.24,25000
344125,8553475,13.85,18.7301,25000
344125,8553525,14.13,19.18,25000
344125,8553575,13.78,24.02,25000
344125,8553625,14.05,19.66,25000
344125,8553675,14.48,20.51,25000
344125,8553725,15.74,20.28,25000
344125,8553775,14.4,19.9001,25000
344125,8553825,15.1,18.75,23943
344175,8553025,14.31,23.8501,25000
344175,8553075,13.39,20.14,25000
344175,8553125,15.31,20.8801,25000
344175,8553175,14.73,20.55,25000
344175,8553225,13.34,19.0401,25000
344175,8553275,14.88,19.25,25000
344175,8553325,14.38,22.05,25000
344175,8553375,13.71,18.13,25000
344175,8553425,15.15,23.18,25000
344175,8553475,14.62,25.23,25000
344175,8553525,13.88,20.44,25000
344175,8553575,14.56,20.08,25000
344175,8553625,16.24,27.2701,25000
344175,8553675,13.91,23.1601,25000
344175,8553725,15.64,22.23,25000
344175,8553775,16.08,21.93,25000
344175,8553825,12.91,19.23,25000
344225,8553025,15.18,22.14,25000
344225,8553075,13.84,23.0501,25000
344225,8553125,16.26,25.0901,25000
344225,8553175,14.62,23.41,25000
344225,8553225,15.37,20.73,25000
344225,8553275,16.22,25.47,25000
344225,8553325,13.58,20.9101,25000
344225,8553375,15.03,19.5,25000
344225,8553425,14.8,25.27,25000
344225,8553475,14.78,20.9501,25000
344225,8553525,14.54,20.24,25000
344225,8553575,15.44,22.77,25000
344225,8553625,16.4,20.5601,25000
344225,8553675,14.58,24.0301,25000
344225,8553725,14.53,22.22,25000
344225,8553775,15.72,21.48,25000
344225,8553825,15.41,20.27,25000
344275,8553025,14.69,21.2101,25000
344275,8553075,16.2,22.02,25000
344275,8553125,15.76,21.63,25000
344275,8553175,15.28,26.89,25000
344275,8553225,14.91,24.54,25000
344275,8553275,14.78,22.5901,25000
344275,8553325,14.94,20.65,25000
344275,8553375,14.72,22.6,25000
344275,8553425,13.24,19.95,25000
344275,8553475,15.28,22.58,25000
344275,8553525,15.14,20.25,25000
344275,8553575,17.06,20.96,25000
344275,8553625,14.86,20.72,25000
344275,8553675,15.4,20.2,25000
344275,8553725,14.45,19.99,25000
344275,8553775,15.22,21.5501,25000
344275,8553825,15.07,22.34,25000
344325,8553025,14.65,21.36,25000
344325,8553075,15.21,20.31,25000
344325,8553125,14.78,26.6,25000
344325,8553175,16.305,23.29,25000
344325,8553225,15.15,19.8701,25000
344325,8553275,13.85,21.66,25000
344325,8553325,14.2,20.9301,25000
344325,8553375,15.14,20.52,25000
344325,8553425,15.8,23.0501,25000
344325,8553475,14.34,20.62,25000
344325,8553525,15.03,21.09,25000
344325,8553575,14.76,20.31,25000
344325,8553625,16.45,23.07,25000
344325,8553675,14.85,20.83,25000
344325,8553725,16.33,20.85,25000
344325,8553775,16.98,22.2,25000
344325,8553825,15.22,22.34,25000
344375,8553025,14.22,18.65,25000
344375,8553075,14.67,20.3301,25000
344375,8553125,13.95,20.41,25000
344375,8553175,15.46,20.1401,25000
344375,8553225,14.53,19.94,25000
344375,8553275,15.44,21.56,25000
344375,8553325,15.51,24.2502,25000
344375,8553375,13.53,21.6001,25000
344375,8553425,14.81,21.11,25000
344375,8553475,16.44,23.6501,25000
344375,8553525,14.95,20.81,25000
344375,8553575,12.58,17.97,25000
344375,8553625,12.95,18.77,25000
344375,8553675,15.11,20.73,25000
344375,8553725,14.86,20.67,25000
344375,8553775,15.34,19.7701,25000
