"X","Y","fire.treat","edge"
349225,8553625,"6x","interior"
349275,8553625,"6x","interior"
349325,8553625,"6x","interior"
349375,8553625,"6x","interior"
349425,8553625,"6x","interior"
349475,8553625,"6x","interior"
349525,8553625,"6x","interior"
349575,8553625,"6x","interior"
349625,8553625,"6x","interior"
349675,8553625,"6x","interior"
349225,8553675,"6x","interior"
349275,8553675,"6x","interior"
349325,8553675,"6x","interior"
349375,8553675,"6x","interior"
349425,8553675,"6x","interior"
349475,8553675,"6x","interior"
349525,8553675,"6x","interior"
349575,8553675,"6x","interior"
349625,8553675,"6x","interior"
349675,8553675,"6x","interior"
349225,8553725,"6x","edge"
349275,8553725,"6x","edge"
349325,8553725,"6x","edge"
349375,8553725,"6x","edge"
349425,8553725,"6x","edge"
349475,8553725,"6x","edge"
349525,8553725,"6x","edge"
349575,8553725,"6x","edge"
349625,8553725,"6x","edge"
349675,8553725,"6x","edge"
349225,8553775,"6x","edge"
349275,8553775,"6x","edge"
349325,8553775,"6x","edge"
349375,8553775,"6x","edge"
349425,8553775,"6x","edge"
349475,8553775,"6x","edge"
349525,8553775,"6x","edge"
349575,8553775,"6x","edge"
349625,8553775,"6x","edge"
349675,8553775,"6x","edge"
349225,8553825,"6x","edge"
349275,8553825,"6x","edge"
349325,8553825,"6x","edge"
349375,8553825,"6x","edge"
349425,8553825,"6x","edge"
349475,8553825,"6x","edge"
349525,8553825,"6x","edge"
349575,8553825,"6x","edge"
349625,8553825,"6x","edge"
349675,8553825,"6x","edge"
349225,8553875,"6x","edge"
349275,8553875,"6x","edge"
349325,8553875,"6x","edge"
349375,8553875,"6x","edge"
349425,8553875,"6x","edge"
349475,8553875,"6x","edge"
349525,8553875,"6x","edge"
349575,8553875,"6x","edge"
349625,8553875,"6x","edge"
349675,8553875,"6x","edge"
349225,8553925,"6x","edge"
349275,8553925,"6x","edge"
349325,8553925,"6x","edge"
349375,8553925,"6x","edge"
349425,8553925,"6x","edge"
349475,8553925,"6x","edge"
349525,8553925,"6x","edge"
349575,8553925,"6x","edge"
349625,8553925,"6x","edge"
349675,8553925,"6x","edge"
349225,8553975,"6x","edge"
349275,8553975,"6x","edge"
349325,8553975,"6x","edge"
349375,8553975,"6x","edge"
349425,8553975,"6x","edge"
349475,8553975,"6x","edge"
349525,8553975,"6x","edge"
349575,8553975,"6x","edge"
349625,8553975,"6x","edge"
349675,8553975,"6x","edge"
349225,8554025,"6x","edge"
349275,8554025,"6x","edge"
349325,8554025,"6x","edge"
349375,8554025,"6x","edge"
349425,8554025,"6x","edge"
349475,8554025,"6x","edge"
349525,8554025,"6x","edge"
349575,8554025,"6x","edge"
349625,8554025,"6x","edge"
349675,8554025,"6x","edge"
349225,8554075,"6x","edge"
349275,8554075,"6x","edge"
349325,8554075,"6x","edge"
349375,8554075,"6x","edge"
349425,8554075,"6x","edge"
349475,8554075,"6x","edge"
349525,8554075,"6x","edge"
349575,8554075,"6x","edge"
349625,8554075,"6x","edge"
349675,8554075,"6x","edge"
349225,8554125,"6x","edge"
349275,8554125,"6x","edge"
349325,8554125,"6x","edge"
349375,8554125,"6x","edge"
349425,8554125,"6x","edge"
349475,8554125,"6x","edge"
349525,8554125,"6x","edge"
349575,8554125,"6x","edge"
349625,8554125,"6x","edge"
349675,8554125,"6x","edge"
349225,8554175,"6x","edge"
349275,8554175,"6x","edge"
349325,8554175,"6x","edge"
349375,8554175,"6x","edge"
349425,8554175,"6x","edge"
349475,8554175,"6x","edge"
349525,8554175,"6x","edge"
349575,8554175,"6x","edge"
349625,8554175,"6x","edge"
349675,8554175,"6x","edge"
348325,8553225,"1x","interior"
348375,8553225,"1x","interior"
348425,8553225,"1x","interior"
348475,8553225,"1x","interior"
348525,8553225,"1x","interior"
348575,8553225,"1x","interior"
348625,8553225,"1x","interior"
348675,8553225,"1x","interior"
348725,8553225,"1x","interior"
348775,8553225,"1x","interior"
348325,8553275,"1x","interior"
348375,8553275,"1x","interior"
348425,8553275,"1x","interior"
348475,8553275,"1x","interior"
348525,8553275,"1x","interior"
348575,8553275,"1x","interior"
348625,8553275,"1x","interior"
348675,8553275,"1x","interior"
348725,8553275,"1x","interior"
348775,8553275,"1x","interior"
348325,8553325,"1x","interior"
348375,8553325,"1x","interior"
348425,8553325,"1x","interior"
348475,8553325,"1x","interior"
348525,8553325,"1x","interior"
348575,8553325,"1x","interior"
348625,8553325,"1x","interior"
348675,8553325,"1x","interior"
348725,8553325,"1x","interior"
348775,8553325,"1x","interior"
348325,8553375,"1x","interior"
348375,8553375,"1x","interior"
