"X","Y","fire.treat","Parcela","dist.borda"
349725,8553925,"3x","B",250
349775,8553925,"3x","B",250
349825,8553925,"3x","B",250
349875,8553925,"3x","B",250
349925,8553925,"3x","B",250
349975,8553925,"3x","B",250
349725,8553975,"3x","B",200
349775,8553975,"3x","B",200
349825,8553975,"3x","B",200
349875,8553975,"3x","B",200
349925,8553975,"3x","B",200
349975,8553975,"3x","B",200
349725,8554025,"3x","B",150
349775,8554025,"3x","B",150
349825,8554025,"3x","B",150
349875,8554025,"3x","B",150
349925,8554025,"3x","B",150
349975,8554025,"3x","B",150
349725,8554075,"3x","B",100
349775,8554075,"3x","B",100
349825,8554075,"3x","B",100
349875,8554075,"3x","B",100
349925,8554075,"3x","B",100
349975,8554075,"3x","B",100
349725,8554125,"3x","B",50
349775,8554125,"3x","B",50
349825,8554125,"3x","B",50
349875,8554125,"3x","B",50
349925,8554125,"3x","B",50
349975,8554125,"3x","B",50
349725,8554175,"3x","B",0
349775,8554175,"3x","B",0
349825,8554175,"3x","B",0
349875,8554175,"3x","B",0
349925,8554175,"3x","B",0
349975,8554175,"3x","B",0
350025,8553225,"3x","B",950
350075,8553225,"3x","B",950
350125,8553225,"3x","B",950
350175,8553225,"3x","B",950
350025,8553275,"3x","B",900
350075,8553275,"3x","B",900
350125,8553275,"3x","B",900
350175,8553275,"3x","B",900
350025,8553325,"3x","B",850
350075,8553325,"3x","B",850
350125,8553325,"3x","B",850
350175,8553325,"3x","B",850
350025,8553375,"3x","B",800
350075,8553375,"3x","B",800
350125,8553375,"3x","B",800
350175,8553375,"3x","B",800
350025,8553425,"3x","B",750
350075,8553425,"3x","B",750
350125,8553425,"3x","B",750
350175,8553425,"3x","B",750
350025,8553475,"3x","B",700
350075,8553475,"3x","B",700
350125,8553475,"3x","B",700
350175,8553475,"3x","B",700
350025,8553525,"3x","B",650
350075,8553525,"3x","B",650
350125,8553525,"3x","B",650
350175,8553525,"3x","B",650
350025,8553575,"3x","B",600
350075,8553575,"3x","B",600
350125,8553575,"3x","B",600
350175,8553575,"3x","B",600
350025,8553625,"3x","B",550
350075,8553625,"3x","B",550
350125,8553625,"3x","B",550
350175,8553625,"3x","B",550
350025,8553675,"3x","B",500
350075,8553675,"3x","B",500
350125,8553675,"3x","B",500
350175,8553675,"3x","B",500
350025,8553725,"3x","B",450
350075,8553725,"3x","B",450
350125,8553725,"3x","B",450
350175,8553725,"3x","B",450
350025,8553775,"3x","B",400
350075,8553775,"3x","B",400
350125,8553775,"3x","B",400
350175,8553775,"3x","B",400
350025,8553825,"3x","B",350
350075,8553825,"3x","B",350
350125,8553825,"3x","B",350
350175,8553825,"3x","B",350
350025,8553875,"3x","B",300
350075,8553875,"3x","B",300
350125,8553875,"3x","B",300
350175,8553875,"3x","B",300
350025,8553925,"3x","B",250
350075,8553925,"3x","B",250
350125,8553925,"3x","B",250
350175,8553925,"3x","B",250
350025,8553975,"3x","B",200
350075,8553975,"3x","B",200
350125,8553975,"3x","B",200
350175,8553975,"3x","B",200
350025,8554025,"3x","B",150
350075,8554025,"3x","B",150
350125,8554025,"3x","B",150
350175,8554025,"3x","B",150
350025,8554075,"3x","B",100
350075,8554075,"3x","B",100
350125,8554075,"3x","B",100
350175,8554075,"3x","B",100
350025,8554125,"3x","B",50
350075,8554125,"3x","B",50
350125,8554125,"3x","B",50
350175,8554125,"3x","B",50
350025,8554175,"3x","B",0
350075,8554175,"3x","B",0
350125,8554175,"3x","B",0
350175,8554175,"3x","B",0
349225,8553225,"6x","C",950
349275,8553225,"6x","C",950
349325,8553225,"6x","C",950
349375,8553225,"6x","C",950
349425,8553225,"6x","C",950
349475,8553225,"6x","C",950
349525,8553225,"6x","C",950
349575,8553225,"6x","C",950
349625,8553225,"6x","C",950
349675,8553225,"6x","C",950
349225,8553275,"6x","C",900
349275,8553275,"6x","C",900
349325,8553275,"6x","C",900
349375,8553275,"6x","C",900
349425,8553275,"6x","C",900
349475,8553275,"6x","C",900
349525,8553275,"6x","C",900
349575,8553275,"6x","C",900
349625,8553275,"6x","C",900
349675,8553275,"6x","C",900
349225,8553325,"6x","C",850
349275,8553325,"6x","C",850
349325,8553325,"6x","C",850
349375,8553325,"6x","C",850
349425,8553325,"6x","C",850
349475,8553325,"6x","C",850
349525,8553325,"6x","C",850
349575,8553325,"6x","C",850
349625,8553325,"6x","C",850
349675,8553325,"6x","C",850
349225,8553375,"6x","C",800
349275,8553375,"6x","C",800
349325,8553375,"6x","C",800
349375,8553375,"6x","C",800
349425,8553375,"6x","C",800
349475,8553375,"6x","C",800
349525,8553375,"6x","C",800
349575,8553375,"6x","C",800
349625,8553375,"6x","C",800
349675,8553375,"6x","C",800
349225,8553425,"6x","C",750
349275,8553425,"6x","C",750
349325,8553425,"6x","C",750
349375,8553425,"6x","C",750
349425,8553425,"6x","C",750
349475,8553425,"6x","C",750
349525,8553425,"6x","C",750
349575,8553425,"6x","C",750
349625,8553425,"6x","C",750
349675,8553425,"6x","C",750
349225,8553475,"6x","C",700
349275,8553475,"6x","C",700
349325,8553475,"6x","C",700
349375,8553475,"6x","C",700
349425,8553475,"6x","C",700
349475,8553475,"6x","C",700
349525,8553475,"6x","C",700
349575,8553475,"6x","C",700
349625,8553475,"6x","C",700
349675,8553475,"6x","C",700
349225,8553525,"6x","C",650
349275,8553525,"6x","C",650
349325,8553525,"6x","C",650
349375,8553525,"6x","C",650
349425,8553525,"6x","C",650
349475,8553525,"6x","C",650
349525,8553525,"6x","C",650
349575,8553525,"6x","C",650
349625,8553525,"6x","C",650
349675,8553525,"6x","C",650
349225,8553575,"6x","C",600
349275,8553575,"6x","C",600
349325,8553575,"6x","C",600
349375,8553575,"6x","C",600
349425,8553575,"6x","C",600
349475,8553575,"6x","C",600
349525,8553575,"6x","C",600
349575,8553575,"6x","C",600
349625,8553575,"6x","C",600
349675,8553575,"6x","C",600
349225,8553625,"6x","C",550
349275,8553625,"6x","C",550
349325,8553625,"6x","C",550
349375,8553625,"6x","C",550
349425,8553625,"6x","C",550
349475,8553625,"6x","C",550
349525,8553625,"6x","C",550
349575,8553625,"6x","C",550
349625,8553625,"6x","C",550
349675,8553625,"6x","C",550
349225,8553675,"6x","C",500
349275,8553675,"6x","C",500
349325,8553675,"6x","C",500
349375,8553675,"6x","C",500
349425,8553675,"6x","C",500
349475,8553675,"6x","C",500
349525,8553675,"6x","C",500
349575,8553675,"6x","C",500
349625,8553675,"6x","C",500
349675,8553675,"6x","C",500
349225,8553725,"6x","C",450
349275,8553725,"6x","C",450
349325,8553725,"6x","C",450
349375,8553725,"6x","C",450
349425,8553725,"6x","C",450
349475,8553725,"6x","C",450
349525,8553725,"6x","C",450
349575,8553725,"6x","C",450
349625,8553725,"6x","C",450
349675,8553725,"6x","C",450
349225,8553775,"6x","C",400
349275,8553775,"6x","C",400
349325,8553775,"6x","C",400
349375,8553775,"6x","C",400
349425,8553775,"6x","C",400
349475,8553775,"6x","C",400
349525,8553775,"6x","C",400
349575,8553775,"6x","C",400
349625,8553775,"6x","C",400
349675,8553775,"6x","C",400
349225,8553825,"6x","C",350
349275,8553825,"6x","C",350
349325,8553825,"6x","C",350
349375,8553825,"6x","C",350
349425,8553825,"6x","C",350
349475,8553825,"6x","C",350
349525,8553825,"6x","C",350
349575,8553825,"6x","C",350
349625,8553825,"6x","C",350
349675,8553825,"6x","C",350
349225,8553875,"6x","C",300
349275,8553875,"6x","C",300
349325,8553875,"6x","C",300
349375,8553875,"6x","C",300
349425,8553875,"6x","C",300
349475,8553875,"6x","C",300
349525,8553875,"6x","C",300
349575,8553875,"6x","C",300
349625,8553875,"6x","C",300
349675,8553875,"6x","C",300
349225,8553925,"6x","C",250
349275,8553925,"6x","C",250
349325,8553925,"6x","C",250
349375,8553925,"6x","C",250
349425,8553925,"6x","C",250
349475,8553925,"6x","C",250
349525,8553925,"6x","C",250
349575,8553925,"6x","C",250
349625,8553925,"6x","C",250
349675,8553925,"6x","C",250
349225,8553975,"6x","C",200
349275,8553975,"6x","C",200
349325,8553975,"6x","C",200
349375,8553975,"6x","C",200
349425,8553975,"6x","C",200
349475,8553975,"6x","C",200
349525,8553975,"6x","C",200
349575,8553975,"6x","C",200
349625,8553975,"6x","C",200
349675,8553975,"6x","C",200
349225,8554025,"6x","C",150
349275,8554025,"6x","C",150
349325,8554025,"6x","C",150
349375,8554025,"6x","C",150
349425,8554025,"6x","C",150
349475,8554025,"6x","C",150
349525,8554025,"6x","C",150
349575,8554025,"6x","C",150
349625,8554025,"6x","C",150
349675,8554025,"6x","C",150
349225,8554075,"6x","C",100
349275,8554075,"6x","C",100
349325,8554075,"6x","C",100
349375,8554075,"6x","C",100
349425,8554075,"6x","C",100
349475,8554075,"6x","C",100
349525,8554075,"6x","C",100
349575,8554075,"6x","C",100
349625,8554075,"6x","C",100
349675,8554075,"6x","C",100
349225,8554125,"6x","C",50
349275,8554125,"6x","C",50
349325,8554125,"6x","C",50
349375,8554125,"6x","C",50
349425,8554125,"6x","C",50
349475,8554125,"6x","C",50
349525,8554125,"6x","C",50
349575,8554125,"6x","C",50
349625,8554125,"6x","C",50
349675,8554125,"6x","C",50
349225,8554175,"6x","C",0
349275,8554175,"6x","C",0
349325,8554175,"6x","C",0
349375,8554175,"6x","C",0
